,google_hits0,google_hits1,google_hits2,google_hits3,google_hits4,google_hits5,google_hits6,google_hits7,google_hits8,google_hits9,google_hits10,google_hits11,google_hits12,google_hits13,google_hits14,google_hits15,google_hits16,google_hits17,google_hits18,google_hits19,google_hits20,google_hits21,google_hits22,google_hits23,google_hits24,google_hits25,google_hits26,google_hits27,google_hits28,google_hits29,google_hits30,google_hits31,google_hits32,google_hits33,google_hits34,google_hits35,google_hits36,google_hits37,google_hits38,google_hits39,google_hits40,google_hits41,google_hits42,google_hits43,google_hits44,google_hits45,google_hits46,google_hits47,google_hits48,google_hits49,google_hits50,google_hits51,google_hits52,google_hits53,google_hits54,google_hits55,google_hits56,google_hits57,google_hits58,google_hits59,google_hits60,google_hits61,google_hits62,google_hits63,google_hits64,google_hits65,google_hits66,google_hits67,Dates
5230,1.0,7.0,38.0,4.0,70.0,17.0,10.0,54.0,10.0,26.0,5.0,84.0,4.0,12.0,11.0,82.0,17.0,67.0,15.0,12.0,9.0,55.0,19.0,4.0,13.0,8.0,43.0,39.0,65.0,39.0,2.0,1.0,1.0,51.0,6.0,10.0,19.0,7.0,9.0,7.0,1.0,3.0,6.0,3.0,3.0,5.0,25.0,6.0,6.0,6.0,11.0,4.0,26.0,4.0,26.0,49.0,40.0,3.0,14.0,4.0,1.0,2.0,100.0,8.0,0.0,0.0,1.0,32.0,10/28/11
5231,1.0,7.0,38.0,4.0,70.0,17.0,10.0,54.0,10.0,26.0,5.0,84.0,4.0,12.0,11.0,82.0,17.0,67.0,15.0,12.0,9.0,55.0,19.0,4.0,13.0,8.0,43.0,39.0,65.0,39.0,2.0,1.0,1.0,51.0,6.0,10.0,19.0,7.0,9.0,7.0,1.0,3.0,6.0,3.0,3.0,5.0,25.0,6.0,6.0,6.0,11.0,4.0,26.0,4.0,26.0,49.0,40.0,3.0,14.0,4.0,1.0,2.0,100.0,8.0,0.0,0.0,1.0,32.0,10/31/11
5232,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/1/11
5233,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/2/11
5234,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/3/11
5235,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/4/11
5236,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/7/11
5237,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/8/11
5238,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/9/11
5239,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/10/11
5240,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/11/11
5241,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/14/11
5242,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/15/11
5243,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/16/11
5244,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/17/11
5245,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/18/11
5246,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/21/11
5247,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/22/11
5248,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/23/11
5249,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/25/11
5250,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/28/11
5251,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/29/11
5252,1.0,7.0,39.0,3.0,71.0,17.0,11.0,53.0,10.0,25.0,5.0,87.0,5.0,12.0,10.0,84.0,17.0,57.0,14.0,12.0,8.0,60.0,21.0,3.0,12.0,8.0,41.0,42.0,41.0,38.0,2.0,1.0,1.0,52.0,5.0,10.0,21.0,8.0,9.0,8.0,1.0,4.0,6.0,3.0,4.0,4.0,25.0,7.0,5.0,8.0,12.0,4.0,18.0,5.0,24.0,48.0,40.0,3.0,15.0,7.0,1.0,2.0,50.0,8.0,0.0,1.0,1.0,43.0,11/30/11
5253,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/1/11
5254,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/2/11
5255,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/5/11
5256,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/6/11
5257,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/7/11
5258,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/8/11
5259,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/9/11
5260,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/12/11
5261,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/13/11
5262,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/14/11
5263,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/15/11
5264,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/16/11
5265,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/19/11
5266,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/20/11
5267,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/21/11
5268,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/22/11
5269,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/23/11
5270,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/27/11
5271,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/28/11
5272,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/29/11
5273,1.0,6.0,38.0,3.0,74.0,15.0,9.0,49.0,8.0,22.0,4.0,87.0,4.0,13.0,11.0,85.0,16.0,50.0,12.0,11.0,7.0,54.0,20.0,3.0,10.0,6.0,37.0,45.0,22.0,38.0,2.0,1.0,1.0,46.0,4.0,10.0,15.0,6.0,8.0,8.0,1.0,3.0,6.0,2.0,3.0,3.0,25.0,6.0,6.0,11.0,12.0,4.0,18.0,4.0,16.0,47.0,36.0,3.0,15.0,6.0,1.0,1.0,16.0,8.0,0.0,1.0,1.0,36.0,12/30/11
5274,1.0,6.0,38.0,4.0,72.0,16.0,9.0,60.0,6.0,31.0,5.0,89.0,4.0,16.0,13.0,88.0,16.0,55.0,14.0,12.0,8.0,57.0,21.0,3.0,8.0,7.0,39.0,42.0,19.0,40.0,2.0,1.0,1.0,57.0,3.0,10.0,17.0,5.0,7.0,7.0,1.0,3.0,7.0,2.0,4.0,3.0,23.0,4.0,9.0,7.0,12.0,4.0,16.0,5.0,23.0,42.0,39.0,3.0,17.0,6.0,1.0,2.0,10.0,6.0,0.0,1.0,1.0,35.0,1/3/12
5275,1.0,6.0,38.0,4.0,72.0,16.0,9.0,60.0,6.0,31.0,5.0,89.0,4.0,16.0,13.0,88.0,16.0,55.0,14.0,12.0,8.0,57.0,21.0,3.0,8.0,7.0,39.0,42.0,19.0,40.0,2.0,1.0,1.0,57.0,3.0,10.0,17.0,5.0,7.0,7.0,1.0,3.0,7.0,2.0,4.0,3.0,23.0,4.0,9.0,7.0,12.0,4.0,16.0,5.0,23.0,42.0,39.0,3.0,17.0,6.0,1.0,2.0,10.0,6.0,0.0,1.0,1.0,35.0,1/4/12
5276,1.0,6.0,38.0,4.0,72.0,16.0,9.0,60.0,6.0,31.0,5.0,89.0,4.0,16.0,13.0,88.0,16.0,55.0,14.0,12.0,8.0,57.0,21.0,3.0,8.0,7.0,39.0,42.0,19.0,40.0,2.0,1.0,1.0,57.0,3.0,10.0,17.0,5.0,7.0,7.0,1.0,3.0,7.0,2.0,4.0,3.0,23.0,4.0,9.0,7.0,12.0,4.0,16.0,5.0,23.0,42.0,39.0,3.0,17.0,6.0,1.0,2.0,10.0,6.0,0.0,1.0,1.0,35.0,1/5/12
5277,1.0,6.0,38.0,4.0,72.0,16.0,9.0,60.0,6.0,31.0,5.0,89.0,4.0,16.0,13.0,88.0,16.0,55.0,14.0,12.0,8.0,57.0,21.0,3.0,8.0,7.0,39.0,42.0,19.0,40.0,2.0,1.0,1.0,57.0,3.0,10.0,17.0,5.0,7.0,7.0,1.0,3.0,7.0,2.0,4.0,3.0,23.0,4.0,9.0,7.0,12.0,4.0,16.0,5.0,23.0,42.0,39.0,3.0,17.0,6.0,1.0,2.0,10.0,6.0,0.0,1.0,1.0,35.0,1/6/12
